Model,Crypto,Train Start Date,Train End Date,Test Start Date,Test End Date,Predicted,Result,Consistency
gbc_model,bitcoin,2022-01-01,2023-04-18,2023-04-19,2023-05-19,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,1",54.84%
gbc_model,bitcoin,2022-01-01,2023-03-18,2023-03-19,2023-04-19,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0","1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0",53.12%
gbc_model,bitcoin,2022-01-01,2023-02-18,2023-02-19,2023-03-19,"0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0","0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1",58.62%
gbc_model,bitcoin,2022-01-01,2023-01-18,2023-01-19,2023-02-19,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0","1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0",59.38%
gbc_model,bitcoin,2022-01-01,2022-12-18,2022-12-19,2023-01-19,"1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0","0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1",53.12%
gbc_model,bitcoin,2022-01-01,2022-11-18,2022-11-19,2022-12-19,"1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0","1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0",54.84%
gbc_model,bitcoin,2022-01-01,2022-10-18,2022-10-19,2022-11-19,"0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1","0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1",56.25%
gbc_model,bitcoin,2022-01-01,2022-09-18,2022-09-19,2022-10-19,"1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1","1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0",45.16%
gbc_model,bitcoin,2022-01-01,2023-06-24,2023-06-25,2023-07-15,"0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0","0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0",61.9%
gbc_model,bitcoin,2022-01-01,2023-06-04,2023-06-05,2023-06-25,"0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1","0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0",57.14%
gbc_model,bitcoin,2022-01-01,2023-05-14,2023-05-15,2023-06-05,"1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0","1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0",54.55%
gbc_model,bitcoin,2022-01-01,2023-04-24,2023-04-25,2023-05-15,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1",47.62%
gbc_model,bitcoin,2022-01-01,2023-04-04,2023-04-05,2023-04-25,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1",52.38%
gbc_model,bitcoin,2022-01-01,2023-02-24,2023-02-25,2023-03-15,"0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0","0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0",52.63%
